course_id,rating,reviewers,date_reviews
people-management,4.6328125,512,2016-08-17
perfect-tenses-modals,4.807162534435261,726,2016-06-19
personal-branding,4.447368421052632,1976,2015-11-09
philosophy,4.698874917273329,1511,2015-08-07
philosophy-cognitive-sciences,4.552511415525114,219,2016-09-19
photography,4.77599142550911,933,2016-02-10
physiology,4.780250347705146,719,2015-08-07
plantknows,4.825958702064897,339,2016-09-15
plato,4.052631578947368,76,2016-03-08
positive-psychiatry,4.819012797074954,547,2017-08-03
positive-psychology,4.659316427783903,907,2015-08-14
positive-psychology-applications,4.741206030150754,398,2017-04-13
positive-psychology-resilience,4.886409736308316,493,2017-04-23
positive-psychology-visionary-science,4.86144578313253,1328,2017-04-02
powerpoint-presentations,4.575949367088608,158,2017-03-29
practical-time-series-analysis,4.461290322580645,310,2018-01-16
preparing-cloud-associate-cloud-engineer-exam,4.53784860557769,251,2019-06-19
preparing-cloud-professional-cloud-architect-exam,4.443037974683544,158,2019-01-10
principles-of-macroeconomics,4.619047619047619,504,2015-08-08
principles-of-microeconomics,4.62962962962963,270,2015-08-14
privacy-law-data-protection,4.78125,64,2019-04-18
private-equity,4.762250453720508,1102,2015-10-14
probabilistic-models-in-nlp,4.555555555555555,99,2020-06-27
probability-intro,4.599605522682446,1014,2016-04-13
probability-statistics,4.669642857142857,336,2018-09-03
process-mining,4.68,200,2016-04-24
producing-music,4.82830626450116,431,2016-06-05
professional-emails-english,4.801294498381877,3090,2016-02-13
progfun1,4.719163763066202,1435,2016-05-24
programming-fundamentals,4.643485211830535,1251,2017-11-28
programming-languages,4.918575063613232,393,2016-08-09
project-execution,3.7222222222222223,18,2017-12-21
project-management,4.361111111111111,36,2017-10-13
project-planning,4.714285714285714,2961,2015-08-07
project-planning-1,4.35,20,2017-10-19
project-risk-management,4.774352651048089,811,2015-08-17
psychological-first-aid,4.841421736158578,2926,2016-01-13
public-policy,4.5661764705882355,272,2015-08-12
public-speaking,4.812807881773399,406,2016-11-08
python,4.583672665177985,15226,2015-09-15
python-basics,4.794927853082641,2287,2018-12-14
python-crash-course,4.7251624883936865,3231,2020-01-17
python-data,4.849851164419541,11422,2015-09-03
python-data-analysis,4.234324104234528,4912,2016-10-27
python-data-visualization,4.508108108108108,1295,2016-04-06
python-databases,4.7011922503725785,2684,2015-12-14
python-for-applied-data-science-ai,4.291478260869566,2875,2018-06-06
python-for-data-visualization,4.045252883762201,1127,2018-06-16
python-functions-files-dictionaries,4.805607476635514,535,2018-12-24
python-machine-learning,4.488471391972673,1171,2017-06-01
python-network-data,4.714109483423284,6485,2015-10-27
python-operating-system,4.55049504950495,505,2020-01-18
python-osnovy-programmirovaniya,4.293893129770993,524,2017-05-26
python-plotting,4.339160839160839,858,2017-03-17
python-programming-introduction,4.661498708010336,1161,2016-09-18
python-statistics-financial-analysis,4.270022883295194,437,2019-01-08
quality-healthcare,4.78494623655914,186,2016-07-06
quantitative-methods,4.7132743362831855,565,2015-09-02
quantum-computing-algorithms,3.2045454545454546,44,2019-03-05
r-programming,4.245404868355688,4026,2015-12-06
race-cultural-diversity-american-life,4.510204081632653,98,2018-02-08
